name,detail,note
Không phá hoại công trình,"Không vẽ bậy, làm hư hại tài sản chung",Tôn trọng của chung
Tiết kiệm điện nước,"Tắt điện, nước khi không dùng",Bảo vệ tài nguyên
Phân loại rác tái chế,Phân loại rác để bảo vệ môi trường,Trách nhiệm xã hội
Không dùng túi nilon,Dùng túi vải thay túi nilon,Giảm ô nhiễm
Đi xe đạp thay xe máy,Chọn phương tiện xanh khi có thể,Bảo vệ không khí
Tắm nhanh tiết kiệm nước,"Tắm ngắn gọn, không lãng phí nước",Tiết kiệm tài nguyên
Ăn hết phần ăn,Không bỏ thừa thức ăn,Tôn trọng lương thực
Không săn bắt động vật,"Không tham gia săn bắn, đánh bắt",Không sát sinh
Không mua bán động vật hoang dã,Tẩy chay buôn bán động vật quý hiếm,Bảo vệ sinh vật
Không đốt rừng,Không đốt phá rừng làm nương rẫy,Bảo vệ rừng xanh
Dập tắt lửa rừng,"Báo cháy rừng, tham gia dập lửa","Cứu rừng, cứu động vật"
Không xả chất độc,"Không đổ hóa chất ra sông, suối",Bảo vệ nguồn nước
Nhặt rác biển,Tham gia làm sạch bãi biển,Bảo vệ sinh thái biển
Không dùng pháo nổ,"Không đốt pháo gây ô nhiễm, tiếng ồn",Tôn trọng yên tĩnh
Lái xe cẩn thận ban đêm,Chạy chậm tránh động vật qua đường đêm,Tránh sát sinh
Không bỏ thuốc sâu bừa bãi,Dùng phương pháp hữu cơ trồng trọt,Giảm độc hại
Không nuôi nhốt chim,Không nhốt chim trong lồng,Tự do cho sinh vật
Thả cá ngày lễ,Mua cá thả về sông hồ,Phóng sinh công đức
Không câu cá giải trí,Không câu cá để chơi rồi thả,Tránh làm khổ sinh vật
"Không ăn thịt chó, mèo",Tẩy chay ăn thịt động vật bạn,Tôn trọng sinh mạng
Ăn chay dần dần,"Giảm ăn thịt, tăng ăn chay",Tu tập không sát sinh
Nấu ăn chay cho người,Nấu món chay ngon mời người ăn,Bố thí pháp ăn chay
Tham gia giải cứu động vật,Hỗ trợ tổ chức cứu hộ động vật,Từ bi với muôn loài
Không nói dối,"Nói lời chân thật, thành thực",Thập Thiện thứ tư
Không nói lưỡi đôi chiều,"Không nói xấu sau lưng, gây chia rẽ",Thập Thiện thứ năm
Không nói lời ác độc,"Không chửi rủa, mắng nhiếc, xúc phạm người khác",Thập Thiện thứ sáu
Không nói lời phù phiếm,"Không nói chuyện vô nghĩa, gây hiểu lầm",Thập Thiện thứ bảy
"Nói lời khích lệ, động viên","Động viên người đang gặp khó khăn, thất bại",Nói lời hiền lành
Khen ngợi chân thành,"Khen người khác với tâm chân thành, không nịnh hót",Tán thán điều tốt
Cảm ơn người giúp đỡ,Nói lời cảm ơn chân thành với người đã giúp,Biết ơn
Xin lỗi khi làm sai,Chân thành xin lỗi khi làm điều không đúng,Sám hối
An ủi người đau buồn,"Nói lời an ủi người đang buồn, mất mát",Mang lại bình an
Giải thích hòa giải,Hòa giải khi có mâu thuẫn giữa người với người,Hóa giải oán kết
Dạy người lời hay ý đẹp,"Chia sẻ kiến thức tốt, kinh nghiệm tích cực",Bố thí pháp
Không nói khi giận,Giữ im lặng khi tức giận để không nói lời tổn thương,Điều phục sân hận
Nói lời cầu an cho người,"Chúc người khác bình an, khỏe mạnh",Phát tâm lành
Chia sẻ pháp Phật,Kể về giáo lý tốt đẹp cho người quan tâm,Pháp thí
Nói lời biết ơn cha mẹ,"Bày tỏ lòng biết ơn với cha mẹ, người lớn tuổi",Hiếu đạo
Khuyên người bỏ điều ác,Nhẹ nhàng khuyên người không làm điều xấu,Độ người hướng thiện
Không lan truyền tin xấu,"Không tham gia phát tán tin đồn, tin tiêu cực",Giữ giới khẩu
Chào hỏi người gặp,Chào hỏi lịch sự với mọi người,Thái độ tôn trọng
Nói lời xin phép,Xin phép trước khi sử dụng đồ người khác,Biết điều
"Tụng kinh, niệm Phật","Tụng kinh, niệm danh hiệu Phật mỗi ngày",Tu tập khẩu nghiệp
Không tham lam,"Không tham muốn quá mức, biết đủ",Thập Thiện thứ tám
Không sân hận,"Không nuôi dưỡng giận hờn, oán thù",Thập Thiện thứ chín
Không si mê,"Giữ tâm tỉnh thức, tránh tà kiến",Thập Thiện thứ mười
Nghĩ đến khó khăn của người,Đặt mình vào vị trí người khác để hiểu họ,Đồng cảm
Hoan hỷ công đức người,Vui mừng khi thấy người khác làm điều tốt,Hỷ xả
Tha thứ lỗi lầm người,"Buông bỏ oán giận, tha thứ lỗi lầm",Bao dung
Cầu mong người khác bình an,"Khởi tâm niệm mong người khác được khỏe mạnh, an lành",Từ tâm
Không ghen tị,Không ganh ghét khi người khác thành công,Diệt trừ tâm ác
Biết ơn những gì có,Tri ân với những gì đang có trong cuộc sống,Tri túc
Nhẫn nhục khi bị chửi mắng,Giữ tâm bình tĩnh khi bị phỉ báng,Tu nhẫn nhục
Quán tưởng chúng sinh đều là cha mẹ,Thấy mọi người như cha mẹ kiếp trước,Tu tập từ bi
Hồi hướng công đức,Hồi hướng việc lành cho chúng sinh,Không chấp ngã
Không đố kỵ,"Không ganh tị với tài sản, địa vị người khác",Tâm bình đẳng
Vui với điều giản dị,"Hài lòng với cuộc sống giản dị, không xa hoa",Thiểu dục tri túc
Không oán trách số phận,"Chấp nhận nghiệp quả, không than vãn",Hiểu nhân quả
Tùy hỷ công đức,Vui mừng và tán thán điều tốt người khác làm,Không ngã mạn
Chánh niệm trước khi ăn,"Khởi tâm cúng dường, biết ơn trước bữa cơm",Sống chánh niệm
Sám hối lỗi lầm,Thành tâm hối hận việc xấu đã làm,Tu sám hối
Phát nguyện sống thiện,"Phát nguyện làm việc lành, giúp chúng sinh",Bồ đề tâm
"Thiền định, tĩnh tâm",Dành thời gian thiền định để tâm an lạc,Tu định
